Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;193;"5112";"1302";"0166";9154;"068S";"Região Sudeste";;2.101.875,00;1.788.652,00;2.176.105,00;2.480.006,00;
2025;193;"5112";"1302";"0166";9154;"068S";"Região Sul";;811.571,00;682.573,00;827.186,00;942.317,00;
2025;193;"5113";"1329";"0351";10365;"06GV";"Região Centro-Oeste";;2,00;3,00;3,00;2,00;
2025;193;"5113";"1329";"0351";10365;"06GV";"Região Nordeste";;9,00;14,00;13,00;6,00;
2025;193;"5113";"1329";"0351";10365;"06GV";"Região Norte";;6,00;9,00;9,00;4,00;
2025;193;"5113";"1329";"0351";10365;"06GV";"Região Sudeste";;11,00;19,00;18,00;10,00;
2025;193;"5113";"1329";"0351";10365;"06GV";"Região Sul";;7,00;11,00;11,00;6,00;
2025;193;"5126";"1337";"0404";10238;"06SN";"Região Centro-Oeste";;42,00;78,00;114,00;150,00;
2025;193;"5126";"1337";"0404";10238;"06SN";"Região Nordeste";;156,00;298,00;440,00;582,00;
2025;193;"5126";"1337";"0404";10238;"06SN";"Região Norte";;55,00;99,00;143,00;187,00;
2025;193;"5126";"1337";"0404";10238;"06SN";"Região Sudeste";;166,00;325,00;484,00;643,00;
2025;193;"5126";"1337";"0404";10238;"06SN";"Região Sul";;151,00;297,00;443,00;589,00;
2025;193;"5126";"1337";"0455";10609;"06MT";"Região Centro-Oeste";;8,00;13,00;13,00;13,00;
2025;193;"5126";"1337";"0455";10609;"06MT";"Região Nordeste";;10,00;17,00;17,00;17,00;
2025;193;"5126";"1337";"0455";10609;"06MT";"Região Norte";;10,00;10,00;10,00;10,00;
2025;193;"5126";"1337";"0455";10609;"06MT";"Região Sudeste";;4,00;65,00;65,00;65,00;
2025;193;"5126";"1337";"0455";10609;"06MT";"Região Sul";;8,00;25,00;25,00;25,00;
2025;193;"5601";"1258";"0405";11038;"05ND";"Região Centro-Oeste";;12.000,00;20.000,00;32.000,00;16.000,00;
2025;193;"5601";"1258";"0405";11038;"05ND";"Região Nordeste";;24.000,00;40.000,00;65.000,00;32.000,00;
2025;193;"5601";"1258";"0405";11038;"05ND";"Região Norte";;14.000,00;23.000,00;38.000,00;19.000,00;
2025;193;"5601";"1258";"0405";11038;"05ND";"Região Sudeste";;38.000,00;64.000,00;103.000,00;51.000,00;
2025;193;"5601";"1258";"0405";11038;"05ND";"Região Sul";;12.000,00;20.000,00;32.000,00;16.000,00;
2025;194;"2319";"1257";"0251";9405;"056Y";"Região Centro-Oeste";"%";0,10;50,96;51,39;51,61;
2025;194;"2319";"1257";"0251";9405;"056Y";"Região Nordeste";"%";0,40;42,98;43,26;43,53;
2025;194;"2319";"1257";"0251";9405;"056Y";"Região Norte";"%";0,10;32,44;32,67;32,89;
2025;194;"2319";"1257";"0251";9405;"056Y";"Região Sudeste";"%";0,40;49,16;49,46;49,82;
2025;194;"2319";"1257";"0251";9405;"056Y";"Região Sul";"%";0,30;58,25;58,61;59,03;
2025;194;"5111";"1281";"0436";10525;"06HV";"Região Centro-Oeste";;5,10;5,10;5,10;5,30;
