Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;9;"5128";"1321";"0244";9409;"0572";"Não";100,00;100,00;100,00;100,00;
2025;9;"5128";"1321";"0257";9432;"057A";"Sim";70,00;75,00;80,00;83,00;
2025;9;"5128";"1321";"0261";9459;"0588";"Sim";79,00;80,00;81,00;82,00;
2025;9;"5128";"1321";"0296";9520;"058N";"Sim";94,00;95,00;95,50;96,00;
2025;9;"5129";"1249";"0002";10976;"05N8";"Sim";84,00;84,50;85,00;86,00;
2025;9;"5129";"1249";"0231";9303;"0562";"Sim";60,00;70,00;80,00;90,00;
2025;9;"5131";"1322";"0253";9417;"056Z";"Sim";69,00;71,00;72,00;73,00;
2025;9;"5131";"1322";"0276";9478;"057Z";"Sim";68,00;70,00;72,00;75,00;
2025;9;"5131";"1322";"0309";9597;"0590";"Sim";70,00;72,00;73,00;75,00;
2025;9;"5131";"1322";"0322";9621;"05NB";"Não";133,00;101,00;70,00;70,00;
2025;9;"5131";"1322";"0341";9668;"059P";"Sim";50,00;75,00;85,00;95,00;
2025;9;"5135";"1285";"0071";8900;"053Z";"Sim";3,00;12,00;27,00;27,00;
2025;9;"5135";"1285";"0076";8877;"053U";"Sim";10,00;30,00;60,00;100,00;
2025;9;"5501";"1324";"0336";9638;"0599";"Não";1,00;1,00;2,00;2,00;
2025;9;"5501";"1324";"0350";9671;"059R";"Não";3,00;3,00;3,00;3,00;
2025;9;"5803";"1298";"0206";9283;"06DZ";"Não";41,00;41,00;41,00;40,00;
2025;9;"5803";"1298";"0207";9278;"06E5";"Não";40,00;1,00;1,00;1,00;
2025;9;"5803";"1298";"0219";9281;"06F7";"Não";20,00;1,00;1,00;1,00;
2025;9;"5803";"1298";"0221";9282;"06FB";"Não";12,00;12,00;12,00;12,00;
2025;9;"5803";"1298";"0222";11440;"067N";"Não";1,00;1,00;1,00;1,00;
2025;9;"5816";"1313";"0190";9853;"06HS";"Sim";100,00;200,00;300,00;400,00;
2025;9;"5816";"1313";"0191";9864;"06I4";"Sim";10,00;21,00;27,00;54,00;
2025;9;"5816";"1313";"0192";9974;"06IU";"Sim";80,00;90,00;95,00;100,00;
2025;9;"5816";"1313";"0193";10107;"06L1";"Sim";10,00;20,00;30,00;60,00;
2025;9;"5816";"1313";"0196";10254;"06IV";"Sim";2,00;2,00;3,00;4,00;
2025;9;"5837";"1325";"0301";8911;"06N4";"Sim";800.000,00;1.030.000,00;1.260.000,00;1.390.000,00;
2025;9;"5837";"1325";"0302";10978;"06U6";"Sim";20,00;40,00;60,00;80,00;
2025;9;"5837";"1325";"0304";10754;"06N9";"Não";15,00;5,00;5,00;5,00;
2025;9;"5837";"1325";"0307";11017;"06UZ";"Sim";0,00;80,00;100,00;120,00;
2025;9;"5837";"1325";"0467";10985;"06V2";"Não";4,60;4,60;4,60;4,60;
2025;10;"1144";"1255";"0007";8776;"06A4";"Não";89.723,00;107.668,00;125.612,00;143.557,00;
2025;10;"1144";"1255";"0033";9493;"06EU";"Não";608.637,00;58,00;59,00;60,00;
2025;10;"1144";"1255";"0036";8932;"06AW";"Sim";15,00;15,00;18,00;27,00;
2025;10;"1144";"1255";"0175";9177;"06BE";"Não";3,00;1,00;1,00;1,00;
2025;10;"1144";"1255";"0185";9199;"06CD";"Sim";145.000,00;10,00;15,00;20,00;
2025;10;"1144";"1255";"0187";9221;"06BT";"Sim";18.000,00;18.500,00;19.000,00;19.500,00;
2025;10;"1144";"1255";"0525";11354;"060S";"Não";5,75;5,28;4,82;4,35;
2025;10;"1149";"1284";"0174";9399;"06LM";"Não";8,00;9,00;8,00;9,00;
2025;10;"1149";"1284";"0282";9491;"06MH";"Não";10,00;10,00;10,00;10,00;
2025;10;"1189";"1319";"0273";9470;"064J";"Sim";50.000,00;70.000,00;100.000,00;120.000,00;
2025;10;"1189";"1319";"0539";11497;"06E7";"Sim";2.000,00;2,00;6,00;10,00;
2025;10;"1191";"1328";"0321";10136;"05E3";"Não";1.600.000,00;1.650.000,00;1.700.000,00;1.750.000,00;
2025;10;"1191";"1328";"0324";10172;"05EE";"Não";0,85;88,00;92,00;96,00;
2025;10;"1191";"1328";"0325";10182;"05EJ";"Não";1,00;1,34;1,40;1,47;
2025;10;"1191";"1328";"0326";10197;"05EQ";"Não";2.500,00;9,50;10,00;10,50;
2025;10;"1191";"1328";"0327";10241;"05H1";"Não";1,00;15,00;32,00;52,00;
2025;10;"1191";"1328";"0328";10086;"05DL";"Não";17.263,00;23.343,00;25.511,00;25.654,00;
2025;10;"1191";"1328";"0330";10532;"05H6";"Não";685.971,00;1.106.100,00;1.231.100,00;1.320.000,00;
2025;10;"1191";"1328";"0331";10050;"05D6";"Não";0,75;87,00;102,00;102,00;
2025;10;"1191";"1328";"0333";10805;"05IS";"Não";118.000,00;37,11;37,57;38,03;
2025;10;"1191";"1328";"0334";10322;"05FT";"Não";509.000,00;801.200,00;775.000,00;778.000,00;
2025;10;"2304";"1310";"0214";10649;"06SL";"Não";10,00;20,00;30,00;40,00;
2025;10;"2304";"1310";"0216";10714;"06TD";"Não";5,00;10,00;15,00;20,00;
2025;10;"2304";"1310";"0217";10730;"06TH";"Não";20,00;10,00;20,00;30,00;
2025;10;"2310";"1253";"0133";9027;"054L";"Sim";16,00;25,00;37,00;49,00;
2025;10;"2316";"1326";"0315";10847;"05NQ";"Não";3,00;15,00;15,00;15,00;
2025;10;"3101";"1262";"0010";9100;"06LG";"Não";19,00;34,00;47,00;63,00;
2025;10;"3101";"1262";"0080";8948;"06LP";"Sim";16.478.208,00;17.406.706,00;17.600.000,00;18.000.000,00;
2025;10;"3102";"1274";"0049";8847;"06S7";"Não";14,75;16,50;18,25;20,00;
2025;10;"5111";"1281";"0457";10627;"06H5";"Não";94,05;95,00;95,05;96,00;
2025;10;"5119";"1283";"0069";8871;"05KA";"Sim";70,00;75,00;78,00;80,00;
2025;10;"5119";"1283";"0070";9031;"05HD";"Sim";53,09;78,00;88,00;99,00;
2025;10;"5119";"1283";"0150";9043;"05HH";"Sim";60,00;50,00;55,00;60,00;
2025;10;"5122";"1295";"0186";9207;"05LT";"Não";17,58;16,15;14,25;13,03;
2025;10;"5127";"1334";"0381";9903;"05BZ";"Não";10.000,00;10.000,00;10.000,00;10.000,00;
2025;10;"5127";"1334";"0392";10122;"05FI";"Não";201.500,00;307.487,00;407.487,00;607.487,00;
2025;10;"5128";"1321";"0244";9409;"0572";"Não";100,00;100,00;100,00;100,00;
2025;10;"5128";"1321";"0257";9432;"057A";"Sim";70,00;75,00;80,00;83,00;
2025;10;"5128";"1321";"0261";9459;"0588";"Sim";79,00;80,00;81,00;82,00;
2025;10;"5128";"1321";"0296";9520;"058N";"Sim";94,00;95,00;95,50;96,00;
2025;10;"5129";"1249";"0002";10976;"05N8";"Sim";84,00;84,50;85,00;86,00;
2025;10;"5129";"1249";"0231";9303;"0562";"Sim";60,00;70,00;80,00;90,00;
2025;10;"5131";"1322";"0253";9417;"056Z";"Sim";69,00;71,00;72,00;73,00;
2025;10;"5131";"1322";"0276";9478;"057Z";"Sim";68,00;70,00;72,00;75,00;
2025;10;"5131";"1322";"0309";9597;"0590";"Sim";70,00;72,00;73,00;75,00;
2025;10;"5131";"1322";"0322";9621;"05NB";"Não";133,00;101,00;70,00;70,00;
2025;10;"5131";"1322";"0341";9668;"059P";"Sim";50,00;75,00;85,00;95,00;
2025;10;"5133";"1332";"0368";11612;"074O";"Não";1,00;1,00;1,00;1,00;
2025;10;"5133";"1332";"0370";9759;"05AO";"Sim";945.000,00;949.000,00;891.000,00;833.000,00;
2025;10;"5133";"1332";"0372";9773;"05AT";"Sim";5,47;6,00;6,70;7,50;
2025;10;"5133";"1332";"0374";9785;"05AW";"Sim";55,00;60,00;65,00;70,00;
2025;10;"5133";"1332";"0376";9830;"05BA";"Sim";35,00;35,80;36,60;37,40;
2025;10;"5133";"1332";"0394";10093;"05DA";"Não";125,00;125,00;125,00;125,00;
2025;10;"5136";"1327";"0342";9661;"059Z";"Não";20.000,00;80.990,00;82.000,00;83.000,00;
2025;10;"5136";"1327";"0343";9687;"05A7";"Não";51.000,00;60.000,00;33.000,00;33.000,00;
2025;10;"5136";"1327";"0344";10144;"05E7";"Não";12.000,00;5,00;6,00;7,00;
2025;10;"5136";"1327";"0345";9769;"05E9";"Não";16.250,00;8.125,00;8.125,00;8.125,00;
2025;10;"5136";"1327";"0346";10168;"05EK";"Não";13.800,00;6.800,00;7.000,00;7.000,00;
2025;10;"5136";"1327";"0347";10177;"05EH";"Não";2.500.000,00;5.200.000,00;5.500.000,00;6.000.000,00;
2025;10;"5602";"1259";"0398";10124;"05DQ";"Não";0,97;3,04;4,01;3,10;
2025;10;"5636";"1296";"0072";8873;"05A4";"Não";800.000,00;6.500.000,00;7.100.000,00;7.900.000,00;
2025;10;"5636";"1296";"0329";9691;"05A5";"Não";57.000,00;3.000,00;3.000,00;3.000,00;
2025;10;"5636";"1296";"0339";9708;"05A6";"Não";100,00;1.500,00;1.500,00;1.500,00;
2025;10;"5663";"1291";"0063";11308;"06RC";"Sim";41,70;44,00;46,00;48,00;
2025;10;"5801";"1336";"0389";11156;"06LQ";"Sim";1.332.500,00;1.465.000,00;1.497.500,00;1.530.000,00;
2025;10;"5802";"1323";"0323";9619;"066I";"Sim";2,00;4,00;6,00;8,00;
2025;10;"5804";"1304";"0188";9412;"065J";"Não";54,90;55,00;55,10;55,20;
2025;10;"5814";"1314";"0227";10421;"06ND";"Sim";500,00;1.000,00;1.500,00;2.000,00;
2025;11;"2305";"1251";"0105";9116;"05H7";"Sim";89,90;91,70;93,40;95,20;
2025;11;"4103";"1306";"0230";9299;"068W";"Não";1.000,00;1.100,00;1.200,00;1.300,00;
2025;11;"5111";"1281";"0039";8832;"06GC";"Não";41,50;45,40;48,50;51,80;
2025;11;"5111";"1281";"0433";10491;"06HB";"Não";50,20;53,40;53,40;60,00;
2025;11;"5111";"1281";"0435";10510;"06HP";"Não";5,55;5,57;5,57;5,60;
2025;11;"5111";"1281";"0436";10525;"06HV";"Não";5,00;5,10;5,10;5,30;
2025;11;"5111";"1281";"0438";10531;"06I0";"Não";4,00;4,10;4,10;4,20;
2025;11;"5111";"1281";"0439";10540;"06I9";"Não";21,60;23,50;24,80;25,50;
2025;11;"5111";"1281";"0441";10546;"06LH";"Não";3.400,00;4.100,00;6.200,00;7.300,00;
2025;11;"5111";"1281";"0443";10553;"06NI";"Não";1.661.310,00;1.827.442,00;2.010.185,00;2.211.204,00;
2025;11;"5111";"1281";"0444";10566;"06OU";"Não";64.094,00;66.594,00;69.094,00;71.594,00;
